Random,EGreedy 0.0,EGreedy 0.1,Egreedy 0.2,Softmax 1,Softmax 0.1,Arm 1 mean
0.333967829,0.308924213,0.3494913581,0.3234893946,0.345494159,0.3442387341,1.3
0.549904349,0.3793318336,0.4016434134,0.3921371068,0.4714270556,0.3734193337,1.3
0.7583705701,0.366519057,0.4052034992,0.4159184949,0.5096578111,0.3602124275,1.3
0.913449056,0.374061596,0.407086859,0.4599427052,0.5945824012,0.3639623718,1.3
1.0419077258,0.3553722386,0.4020765911,0.4861185992,0.6242399331,0.3719874816,1.3
1.1369565522,0.3536155705,0.4065894182,0.4884178501,0.6379788248,0.3598020496,1.3
1.1920571362,0.3424650934,0.4213018203,0.5008166502,0.6350821868,0.3556027269,1.3
1.215028183,0.3434788206,0.4172927604,0.5095426386,0.6753218555,0.3541160291,1.3
1.2471331244,0.3405743969,0.4344371827,0.5142039047,0.6944112118,0.3519171226,1.3
1.2704386922,0.3393394224,0.4291914762,0.528101226,0.7345311123,0.3514485979,1.3
1.2883989979,0.3328143748,0.434055234,0.5409834101,0.7639259271,0.3416569697,1.3
1.3034553189,0.3276154372,0.4375670046,0.5462634598,0.7783412747,0.3395888536,1.3
1.3012302402,0.3218694636,0.450006453,0.5530504438,0.7984112753,0.3396746347,1.3
1.3024855623,0.3194772876,0.458124748,0.5723844093,0.7934328887,0.3410505577,1.3
1.3037416755,0.3175872885,0.4587821281,0.5818180536,0.8026709944,0.3375175771,1.3
1.3055239477,0.3148550542,0.4652979342,0.5808545668,0.8199615314,0.3329059075,1.3
1.3067343001,0.316211069,0.4793974759,0.6052101997,0.8432320007,0.3336385541,1.3
1.3151529375,0.3169359543,0.4833616825,0.6148404355,0.8428414805,0.3317909727,1.3
1.307069823,0.3145196951,0.4843402624,0.6183417101,0.8504228188,0.3329266017,1.3
1.3092040605,0.3130577549,0.5004302526,0.6217160761,0.8747025113,0.3348376397,1.3
1.3141300322,0.3109716264,0.5081366741,0.6289854578,0.8805695568,0.3323225692,1.3
1.3164697683,0.3103258537,0.5074560298,0.6430810507,0.887351091,0.3286121657,1.3
1.3216163107,0.3100877325,0.5210130454,0.6527758194,0.8962535027,0.3267000651,1.3
1.3261596355,0.3064903602,0.532170488,0.6627549257,0.9030678127,0.3278937283,1.3
1.3280420822,0.3061651974,0.5399637522,0.679539298,0.9121112744,0.3296234594,1.3
1.3284455689,0.3086522428,0.5423757967,0.6903204924,0.9164040807,0.3262666348,1.3
1.3238071107,0.3068583721,0.5474519253,0.704540905,0.9256249809,0.3263220305,1.3
1.3196376312,0.3068000046,0.5429326891,0.7187548109,0.9350583433,0.3306866431,1.3
1.321847952,0.307035423,0.5465214378,0.7170839794,0.9416759534,0.3278198618,1.3
1.3270908932,0.3052568815,0.5580396185,0.7306788108,0.9483309636,0.3276109158,1.3
1.3255099457,0.3040324329,0.5549615208,0.748457901,0.9554102698,0.3287755909,1.3
1.3212507948,0.3033496159,0.5659538843,0.7446563994,0.9627235733,0.32722429,1.3
1.323357016,0.3046602619,0.575648424,0.7494397362,0.9714602554,0.3285861017,1.3
1.3254144195,0.3048262764,0.5847244647,0.7538307596,0.9769051102,0.3274617546,1.3
1.3230607579,0.3029143835,0.5975086091,0.7545308068,0.9830914816,0.3268514114,1.3
1.3224386497,0.3026235041,0.6040985984,0.7627055665,0.9926519868,0.3283437088,1.3
1.3238397625,0.3008611261,0.6014071953,0.7700413306,0.9940307548,0.3299624658,1.3
1.3240972885,0.300950502,0.6016215457,0.7769900165,0.9973192483,0.3288423815,1.3
1.3280257545,0.3006827279,0.6016498734,0.7861177074,1.0044083863,0.3256159636,1.3
1.3295389758,0.2999181141,0.6110656491,0.7927259098,1.0115679423,0.3285159059,1.3
1.3298022459,0.3005196317,0.6147800043,0.7879943578,1.0155588388,0.3265965479,1.3
1.3296133096,0.299999433,0.6228191591,0.7968500607,1.0238312279,0.3291123424,1.3
1.3268222693,0.2998525195,0.629189135,0.8048044775,1.0264554593,0.3281359454,1.3
1.3224883057,0.2998237683,0.6310744837,0.8051184581,1.032756603,0.3272410696,1.3
1.3209320553,0.2995259848,0.6387251265,0.8068048013,1.0387519529,0.3263726671,1.3
1.3208227184,0.2991580877,0.6437821916,0.8174811407,1.0414663487,0.3258293287,1.3
1.3226912725,0.3000076962,0.6521504125,0.823681838,1.0496463482,0.3264543586,1.3
1.3199310248,0.3000587392,0.6593760501,0.8301708067,1.0600337721,0.327619327,1.3
1.3206122106,0.298662977,0.6596621137,0.8303790217,1.0624667999,0.3293281642,1.3
1.3206859626,0.2979468114,0.6706220217,0.8341383519,1.0654514383,0.3302548219,1.3
1.3201681807,0.2975852621,0.6805460792,0.8433105833,1.0658409107,0.3313209753,1.3
1.3219078726,0.2992151439,0.6884758114,0.8400718063,1.0687008995,0.3312460227,1.3
1.3197694462,0.2975999775,0.6959261982,0.8472443849,1.0695659307,0.3305534109,1.3
1.3215289926,0.2959343726,0.6971959117,0.854422887,1.0707369993,0.331571863,1.3
1.3219275883,0.2961923889,0.7064410156,0.860104511,1.0769503674,0.3313960442,1.3
1.3233868499,0.2958812179,0.7039394823,0.8678765514,1.0807823807,0.3286017457,1.3
1.3212535009,0.2956979183,0.7081050462,0.8691390158,1.079691137,0.3295007301,1.3
1.321415346,0.2956359192,0.710188691,0.8703877165,1.0814107624,0.3286066475,1.3
1.3207938943,0.2956617509,0.7148809457,0.8768377535,1.0838920096,0.3305348427,1.3
1.3212601794,0.2956821656,0.7130957453,0.8793291443,1.0844478508,0.3322633208,1.3
1.3198645597,0.2949299283,0.7180979757,0.8849343005,1.0865490674,0.3339315829,1.3
1.3177009203,0.2951142425,0.7266776878,0.8899001228,1.090127168,0.3343739864,1.3
1.3191859058,0.295945535,0.7279019473,0.897337153,1.0932320154,0.332999843,1.3
1.3195615209,0.2965541815,0.7320842924,0.9057229693,1.0980697152,0.3331755822,1.3
1.3162049537,0.2953842055,0.7326809897,0.9170555219,1.0989353452,0.3317995389,1.3
1.3159695681,0.2952037344,0.7345980377,0.9180180341,1.101981807,0.3325040338,1.3
1.3167199091,0.2951864398,0.7401683141,0.9189429516,1.1093095348,0.3333990983,1.3
1.3170490521,0.295496737,0.7487128469,0.9265963283,1.1120952238,0.3349314055,1.3
1.3172459534,0.2948166568,0.7528764097,0.9269377585,1.113338497,0.3345557139,1.3
1.3146826373,0.2944642379,0.7532420888,0.9261815833,1.1155466634,0.3345897734,1.3
1.3139003128,0.2945690956,0.7520143044,0.9287265274,1.1171221715,0.3352530458,1.3
1.3142056271,0.2945904703,0.7534584666,0.9336892078,1.118146512,0.3353860681,1.3
1.3131769562,0.2944881117,0.7581963863,0.9458667439,1.1192577773,0.3400127888,1.3
1.3149830421,0.2942139099,0.7613123731,0.9449166963,1.1189991717,0.3443762245,1.3
1.3137042782,0.2938461535,0.7622069568,0.9473611252,1.1227964574,0.3422870084,1.3
1.3147191875,0.2936155804,0.7669813792,0.9504806438,1.1225269249,0.3404582654,1.3
1.3148191491,0.2937063664,0.7765694934,0.9530789792,1.1247358257,0.3388995548,1.3
1.3153357266,0.293862863,0.778831308,0.9563771047,1.1273897805,0.3398882016,1.3
1.3144503017,0.2932504684,0.7820836196,0.9613269225,1.1285782718,0.3394250082,1.3
1.3144082191,0.293218116,0.7842656795,0.9639265486,1.1313954634,0.339719657,1.3
1.3127446811,0.2936924686,0.7894614453,0.964297246,1.1347797542,0.3396582049,1.3
1.3125582247,0.293233316,0.797752655,0.9671166364,1.1364082362,0.3406539436,1.3
1.3120396882,0.2937214511,0.7940163968,0.9733568793,1.1388777382,0.3421383186,1.3
1.3140388235,0.2940528157,0.7937150781,0.9760263027,1.1395274667,0.3412785241,1.3
1.3131478717,0.2944654875,0.7989843587,0.9786280055,1.1419023944,0.3420274381,1.3
1.3128344655,0.2940222248,0.8007808592,0.9817842622,1.1435554713,0.3424196002,1.3
1.3124425556,0.2939172728,0.8053097876,0.9822130089,1.1451472866,0.3414143939,1.3
1.3120503752,0.2940025324,0.811102657,0.9831273617,1.1479669102,0.343430428,1.3
1.3128627295,0.2936714977,0.8165826658,0.9852416428,1.1492693623,0.3461745134,1.3
1.3129279195,0.2938183194,0.8179774119,0.9890962995,1.1501606473,0.3452041512,1.3
1.3135761005,0.2940934869,0.8222416924,0.9938634363,1.1514293746,0.3451207366,1.3
1.313503029,0.2941460386,0.8267085,0.9983743621,1.1520591413,0.3469465722,1.3
1.3116318653,0.2942160802,0.8307053321,1.0021016764,1.1538330126,0.3459498703,1.3
1.3107075583,0.294167869,0.8317461569,1.0050772639,1.1542249966,0.3462012125,1.3
1.3120113334,0.2940296501,0.8335387797,1.0073213163,1.1548274691,0.3457457086,1.3
1.3126987093,0.2940080048,0.8358012319,1.0104466711,1.1561328363,0.3449930812,1.3
1.3114233669,0.2938152257,0.8429634052,1.0127953038,1.1585575792,0.3455380359,1.3
1.3113147697,0.2936735192,0.8408528673,1.0146112054,1.1624388567,0.3457515722,1.3
1.3099667949,0.2936570943,0.8438150809,1.019305137,1.1623738954,0.3474817175,1.3
1.3095451746,0.2937051232,0.846397921,1.0209208401,1.1633283586,0.3477305802,1.3
1.310260568,0.2938894385,0.8475222556,1.0214996438,1.1644172965,0.3486685808,1.3
1.3106983165,0.2936033607,0.8503028124,1.0232186413,1.1669862172,0.3480842483,1.3
1.3102131112,0.2933522956,0.852675106,1.0259230634,1.1687423498,0.3475026746,1.3
1.3096771068,0.2934360556,0.8536703439,1.0257231216,1.1708976993,0.3471246251,1.3
1.3107161502,0.2933812695,0.8563287529,1.0264358982,1.1715261626,0.3471936827,1.3
1.3114828769,0.2934134901,0.8631624867,1.0319987122,1.1744406166,0.3464703318,1.3
1.3113123524,0.2938121535,0.8620714025,1.0326043281,1.1765024765,0.3469598911,1.3
1.3104324901,0.2935111584,0.8689564299,1.0346775559,1.178427785,0.3464493498,1.3
1.3104008664,0.2934172617,0.8716180059,1.0367694849,1.1791949918,0.3474034443,1.3
1.3110957208,0.2934441126,0.875434503,1.0376232058,1.182089555,0.3471105915,1.3
1.3107431736,0.2934096823,0.8823668938,1.0419626169,1.1844783174,0.34727863,1.3
1.310049659,0.2936463098,0.888284133,1.0428045648,1.1873068007,0.3468345454,1.3
1.3106125159,0.293715075,0.8881901615,1.0449050857,1.1899548151,0.34729841,1.3
1.3094179291,0.2936097661,0.889898896,1.0465455967,1.1905726726,0.3469214918,1.3
1.3084285431,0.2936098415,0.8936986711,1.0460509407,1.1921779496,0.3496648009,1.3
1.3090880219,0.2934816347,0.8966100176,1.0486682699,1.192994455,0.3492391524,1.3
1.3088295778,0.2938915553,0.8969286684,1.0504761563,1.1940166312,0.3487771807,1.3
1.3078790528,0.2938999688,0.8980089019,1.0506022092,1.1949010053,0.348717446,1.3
1.3089023532,0.2934772546,0.8986641866,1.050300827,1.1953322925,0.3485197306,1.3
1.3084570379,0.293679671,0.9004696651,1.0497781895,1.1972535544,0.3484001815,1.3
1.3065113737,0.293357569,0.9035441059,1.051063715,1.1978271179,0.3521658499,1.3
1.3059658728,0.2929963169,0.9073641807,1.0533100769,1.1995244935,0.350130766,1.3
1.3052254285,0.2930885594,0.9093485965,1.0563113961,1.2002786694,0.3495548645,1.3
1.3044800894,0.2929570805,0.9063207681,1.0578996698,1.2028312563,0.3500928853,1.3
1.3042533138,0.2931555577,0.9087174763,1.0603348728,1.2050154888,0.3517783256,1.3
1.3037561387,0.2929459822,0.9095248785,1.061562042,1.2067802541,0.3502795187,1.3
1.3035495091,0.2928978624,0.9096948049,1.0621207049,1.2071809547,0.352417958,1.3
1.3038582392,0.2928697319,0.9151728859,1.0631974099,1.2079144109,0.3524435481,1.3
1.3029525939,0.2926690299,0.9171906699,1.0639417017,1.207902211,0.3539870331,1.3
1.3033728315,0.2925609167,0.9163636255,1.0650041226,1.2094465536,0.3547361825,1.3
1.3040464726,0.2924342905,0.9208639305,1.0653933307,1.2101418453,0.3528263866,1.3
1.3040733051,0.2923442923,0.9212063827,1.0668087567,1.210886577,0.3516285665,1.3
1.3045987536,0.2922918267,0.9205201199,1.0669420926,1.2120991573,0.3527290179,1.3
1.3052981146,0.2925588285,0.9214882028,1.0677996777,1.2131343953,0.35362245,1.3
1.305777969,0.2920350454,0.9247165654,1.0689613564,1.2145338965,0.3537399501,1.3
1.3064523332,0.2923619814,0.924347144,1.0691224459,1.215339768,0.3517393814,1.3
1.3066235178,0.2923090327,0.9286808046,1.069753241,1.2158459294,0.3508812703,1.3
1.3060335528,0.2923548201,0.9323993136,1.072711321,1.2167934278,0.3509241251,1.3
1.3049495524,0.2922625952,0.9345156358,1.0732636593,1.2174586355,0.3511896302,1.3
1.3043799174,0.2920336689,0.9343572477,1.075650589,1.2176759762,0.3519843241,1.3
1.3051090829,0.2916149789,0.9370510972,1.0762692287,1.2174932818,0.3522196455,1.3
1.3054725425,0.2916367909,0.9370792908,1.0765983619,1.2176600009,0.3518408836,1.3
1.3057765564,0.2914364026,0.9388518503,1.0766520225,1.2177275881,0.3519509887,1.3
1.3060435895,0.2915219241,0.9408861017,1.078204318,1.2181639091,0.3520398546,1.3
1.3059872063,0.2917021961,0.9437985793,1.0779944594,1.2191199098,0.3526926785,1.3
1.3060866975,0.2917418365,0.9475762236,1.0824274492,1.2210397775,0.3527007107,1.3
1.3068041397,0.2914822164,0.9506809231,1.0828486362,1.2220889352,0.3543204682,1.3
1.3058995381,0.292772231,0.9525293894,1.083843545,1.2231608317,0.3534612846,1.3
1.305280145,0.2918610335,0.9554809011,1.0857747359,1.2234998549,0.3530887737,1.3
1.3058667742,0.2923699071,0.9560795421,1.0874043884,1.2242348272,0.3533849061,1.3
1.3054050771,0.2921777215,0.9571854232,1.0904642531,1.2245086191,0.3531491302,1.3
1.3044460602,0.2923941497,0.9584959361,1.0897392106,1.2243784075,0.3551050595,1.3
1.3045824398,0.2921327091,0.9601878149,1.0898389092,1.2248617934,0.3551342277,1.3
1.3041391034,0.292195695,0.9665482535,1.0887123847,1.2265650633,0.3551788472,1.3
1.3040547463,0.2919150507,0.9642975856,1.0904267786,1.2258986317,0.3548157244,1.3
1.3034507032,0.2919561261,0.9655959175,1.0912380812,1.2268927399,0.3558384993,1.3
1.3040859475,0.2920382038,0.9667295957,1.0911274911,1.2273053057,0.3554805629,1.3
1.3046577896,0.2920450583,0.9670987513,1.0920140844,1.2279279195,0.3561196572,1.3
1.3042553533,0.2919099682,0.9673510984,1.094476348,1.2283859835,0.3559650869,1.3
1.304474188,0.2916419809,0.9688837136,1.0958366863,1.2281181386,0.3591072005,1.3
1.3044540082,0.2930257481,0.9692143622,1.0974453138,1.2298208406,0.3582854267,1.3
1.3048846647,0.2925576062,0.9700670535,1.0975578659,1.2295075404,0.3579059312,1.3
1.3052980888,0.2934337448,0.9727630322,1.0978913384,1.2287550722,0.3575862775,1.3
1.3054358043,0.2927651208,0.9712235198,1.0990402362,1.2300330021,0.3569900912,1.3
1.3055110032,0.2928244293,0.9716184292,1.099603884,1.2321108135,0.3576670319,1.3
1.3057976254,0.2931530371,0.9740804692,1.0988917904,1.2329432895,0.3587662878,1.3
1.3065754999,0.292747311,0.9767060651,1.1001136797,1.234154061,0.3594660337,1.3
1.3068917745,0.2925614702,0.9791235332,1.1015276178,1.2350109082,0.3597442703,1.3
1.3078968976,0.2926001661,0.9834643615,1.1032365507,1.2346126614,0.3602646651,1.3
1.3069468776,0.2924873058,0.9835038469,1.1048407183,1.2359445114,0.3606186256,1.3
1.3069395985,0.2925386394,0.9853267518,1.1064914746,1.2373805654,0.3613347824,1.3
1.3070585945,0.2924521446,0.9866723086,1.1068376846,1.2390515377,0.3607387901,1.3
1.30592705,0.2925510222,0.9879444265,1.1075683456,1.2392654902,0.360483662,1.3
1.3054041161,0.2926298704,0.9894282325,1.1081812613,1.2409991208,0.3608775353,1.3
1.3048164551,0.2925873518,0.9912439409,1.1081159675,1.2414027591,0.3601206277,1.3
1.3054355652,0.2925417835,0.9902208779,1.109376555,1.2417953175,0.3614293398,1.3
1.3057280528,0.2926024533,0.9928347251,1.1115644791,1.242977894,0.3621281037,1.3
1.3052511695,0.2927310284,0.9940433606,1.1115440334,1.2429667607,0.3620861338,1.3
1.3060345724,0.2929641456,0.9961024918,1.1121719129,1.2428974979,0.3617157409,1.3
1.3055579413,0.2929940031,0.9971104512,1.113257141,1.2435724244,0.364869121,1.3
1.3049760955,0.2930384804,0.9981737399,1.1130132071,1.243911588,0.364234213,1.3
1.3047174578,0.2931615803,0.998408472,1.1129628672,1.2443214415,0.3646627051,1.3
1.3041181566,0.2930639573,0.9992506947,1.1117092437,1.2452589273,0.3672119692,1.3
1.3040147674,0.2930691924,0.9990805874,1.1134184966,1.2455464744,0.3664931566,1.3
1.3050204637,0.2930798027,0.9993788837,1.113352805,1.2480086214,0.3670353628,1.3
1.3045701937,0.2929397752,1.0008091844,1.1142230925,1.2480963502,0.3674775323,1.3
1.3049397106,0.2929626519,1.0024553117,1.1153017266,1.2481782809,0.3676181691,1.3
1.3051850689,0.2931238631,1.0019564884,1.1160467993,1.24874179,0.3677063532,1.3
1.3049488817,0.2928552192,1.0029913078,1.1166593726,1.249335556,0.3675790593,1.3
1.3049068116,0.2929925049,1.0037825589,1.1168389593,1.2488721212,0.3665963855,1.3
1.3049650879,0.2927492954,1.003694749,1.1181709184,1.2500450888,0.3664811275,1.3
1.3047423379,0.2924544531,1.0038275522,1.1192143253,1.2505927941,0.3658224078,1.3
1.3051137,0.2922806987,1.0075108674,1.1190929989,1.2520593361,0.3652894839,1.3
1.3048846229,0.2922477746,1.0076036576,1.1204929077,1.2529090987,0.3652212933,1.3
1.3060605992,0.2921380576,1.0077315987,1.1204422017,1.2525125368,0.3652196248,1.3
1.3059612738,0.2923335695,1.007206,1.1205589804,1.2527052499,0.3655665642,1.3
1.3065215396,0.2922689157,1.0070836938,1.1212243131,1.2535144903,0.3671524407,1.3
1.3067302985,0.291961789,1.0084546499,1.1223169868,1.2536434521,0.3690600144,1.3
1.3067127321,0.2919079154,1.0093196614,1.122507614,1.2566497309,0.3682788502,1.3
1.3066712808,0.2916977592,1.0102653824,1.1233716329,1.2581518365,0.3684964861,1.3
1.306644232,0.2916344294,1.0128906676,1.1233113007,1.2584371106,0.3686807108,1.3
1.3067690075,0.291659402,1.0163733101,1.1231705567,1.2589834885,0.368697094,1.3
1.3065803123,0.2916714828,1.0168332728,1.1242481898,1.2607217128,0.367924246,1.3
1.3061244856,0.2915331674,1.0173756248,1.1250135267,1.2607896069,0.3678822647,1.3
1.3056578263,0.2915819668,1.0182771578,1.1256763418,1.2611828687,0.3691674705,1.3
1.305296799,0.2916469787,1.0193759154,1.125569104,1.2615421904,0.3693924766,1.3
1.3055224038,0.2916294093,1.0198920915,1.126345228,1.2616321418,0.3696743423,1.3
1.3059849552,0.291780133,1.0194104194,1.1261236678,1.2620756848,0.3695258012,1.3
1.3059534722,0.2917148156,1.0198798278,1.125788671,1.2622838937,0.3692443174,1.3
1.3061706297,0.2918354304,1.0209624283,1.1270368171,1.262652077,0.3691610244,1.3
1.3063486351,0.291742984,1.0211963493,1.1282252376,1.2622311315,0.3686204055,1.3
1.3061088088,0.2918226724,1.0246542673,1.1293778221,1.2634233138,0.3692916996,1.3
1.3064131231,0.2916439685,1.0266415829,1.1296770901,1.2640590795,0.3690367866,1.3
1.3061279103,0.2915950599,1.0276519682,1.1297821643,1.2644031752,0.3691557022,1.3
1.3064296154,0.2915155463,1.0283417658,1.1290596485,1.2645169294,0.3703947002,1.3
1.3060481146,0.2913817379,1.0312616424,1.1300431123,1.2645440883,0.3702076083,1.3
1.3063330016,0.2914012547,1.0327004172,1.1307013763,1.2643961547,0.3701756895,1.3
1.3060321582,0.2914009915,1.0321035774,1.1319886662,1.2640508652,0.3706794956,1.3
1.306383201,0.2915175152,1.0322399148,1.132683605,1.2642854611,0.3709684327,1.3
1.306226079,0.291390727,1.0322386866,1.1331431624,1.2653292241,0.3697492386,1.3
1.3068954855,0.2912858175,1.034641341,1.1334250183,1.26618249,0.3693644282,1.3
1.3067446727,0.2914059915,1.0364550263,1.1339113185,1.2661724222,0.3693984961,1.3
1.3065398665,0.2912247562,1.036607242,1.1349205321,1.2664698411,0.371470885,1.3
1.3068318898,0.2909920915,1.0385677462,1.1349564885,1.2663463015,0.3715930101,1.3
1.3065688725,0.2911794499,1.0411879755,1.1358814487,1.26609592,0.3717932334,1.3
1.3069834148,0.291142329,1.0415981453,1.1368940835,1.2662341593,0.3705263437,1.3
1.3072712949,0.2909602335,1.0425517932,1.1375143674,1.2670965179,0.3700667406,1.3
1.3073698328,0.2909319589,1.0425993346,1.1388124727,1.2672699206,0.3704492117,1.3
1.3078092625,0.2909372518,1.0435763445,1.1393975145,1.2669140165,0.3703202922,1.3
1.3079419588,0.291123802,1.0433053587,1.1400967144,1.2665609705,0.3707178845,1.3
1.3075848643,0.2911816272,1.0459300033,1.140606088,1.2661216976,0.3705210476,1.3
1.3072136346,0.2913816034,1.0450001216,1.1413859141,1.266335268,0.3718819019,1.3
1.3069289422,0.2913093582,1.0466137216,1.1409111217,1.2664955201,0.3732996648,1.3
1.3063642321,0.2914318413,1.0475846245,1.1424646463,1.2667016925,0.3743910964,1.3
1.306278726,0.2913243728,1.0483371463,1.1424282228,1.2670324261,0.3743885139,1.3
1.3068458834,0.291556788,1.0476631742,1.1438435332,1.2673952663,0.3740382471,1.3
1.3066331261,0.2915270833,1.0492277077,1.1441226759,1.2671878106,0.3749576703,1.3
1.3068001655,0.2915530444,1.0496798502,1.1445010499,1.2672264387,0.3747745135,1.3
1.3067257433,0.2915274121,1.0497749494,1.1454501265,1.2676269977,0.3756752971,1.3
1.3068267946,0.2916475153,1.0513764659,1.1461062586,1.2673120567,0.3760018795,1.3
1.3066122279,0.2915877593,1.0519688431,1.1458171486,1.2677750536,0.3762452817,1.3
1.3067303886,0.2915249671,1.0543127843,1.1464445079,1.2673798843,0.3756618101,1.3
1.3066234462,0.2913948897,1.0549502142,1.146532713,1.2676871455,0.3753038611,1.3
1.3061857851,0.2913259514,1.0552425696,1.1472640859,1.2676342844,0.3751906736,1.3
1.3063927476,0.2914401105,1.0567056584,1.1472561388,1.2674563396,0.37560288,1.3
1.3061744207,0.2914097124,1.0566883851,1.1478870221,1.2673556486,0.3754241931,1.3
1.3062777371,0.2913686248,1.0562266263,1.1475430243,1.267694758,0.375541471,1.3
1.3061412346,0.2914131504,1.0575395429,1.1482023344,1.2679960864,0.3750348243,1.3
1.3060714655,0.2912947292,1.0588322485,1.148487842,1.2684266116,0.3749194719,1.3
